autonomy_code,autonomy_name,province_code,province_name,municipality_code,municipality_name
9,Cataluña,8,Barcelona,8145,Olèrdola
9,Cataluña,8,Barcelona,8197,Sant Andreu de Llavaneres
9,Cataluña,8,Barcelona,8203,Sant Cebrià de Vallalta
7,Castilla y León,9,Burgos,9077,Cascajares de Bureba
7,Castilla y León,9,Burgos,9091,Castrojeriz
7,Castilla y León,9,Burgos,9095,Celada del Camino
7,Castilla y León,9,Burgos,9102,Cillaperlata
7,Castilla y León,9,Burgos,9112,Coruña del Conde
7,Castilla y León,9,Burgos,9159,Hontanas
7,Castilla y León,9,Burgos,9215,Merindad de Sotoscueva
7,Castilla y León,9,Burgos,9227,Montorio
7,Castilla y León,9,Burgos,9235,Olmedillo de Roa
7,Castilla y León,9,Burgos,9265,Piérnigas
7,Castilla y León,9,Burgos,9270,Pinilla Trasmonte
7,Castilla y León,9,Burgos,9277,Puentedura
7,Castilla y León,9,Burgos,9318,Riocavado de la Sierra
7,Castilla y León,9,Burgos,9345,Santa Cruz de la Salceda
7,Castilla y León,9,Burgos,9347,Santa Gadea del Cid
7,Castilla y León,9,Burgos,9473,Villegas
11,Extremadura,10,Cáceres,10040,Calzadilla
11,Extremadura,10,Cáceres,10053,Casas de Don Gómez
11,Extremadura,10,Cáceres,10099,Holguera
11,Extremadura,10,Cáceres,10142,Perales del Puerto
11,Extremadura,10,Cáceres,10147,Piornal
11,Extremadura,10,Cáceres,10198,Valdefuentes
11,Extremadura,10,Cáceres,10903,Alagón del Río
11,Extremadura,10,Cáceres,10904,Tiétar
1,Andalucía,11,Cádiz,11039,Vejer de la Frontera
1,Andalucía,11,Cádiz,11042,Zahara
10,Comunitat Valenciana,12,Castelló,12008,Algimia de Almonacid
10,Comunitat Valenciana,12,Castelló,12016,Artana
10,Comunitat Valenciana,12,Castelló,12029,Benlloc
10,Comunitat Valenciana,12,Castelló,12034,Càlig
10,Comunitat Valenciana,12,Castelló,12098,la Salzadella
8,Castilla-La Mancha,13,Ciudad Real,13035,Corral de Calatrava
8,Castilla-La Mancha,13,Ciudad Real,13091,Villamayor de Calatrava
1,Andalucía,14,Córdoba,14009,Belmez
1,Andalucía,14,Córdoba,14021,Córdoba
1,Andalucía,14,Córdoba,14045,Moriles
12,Galicia,15,A Coruña,15057,Noia
12,Galicia,15,A Coruña,15901,Cariño
8,Castilla-La Mancha,16,Cuenca,16015,La Almarcha
8,Castilla-La Mancha,16,Cuenca,16031,Beamud
8,Castilla-La Mancha,16,Cuenca,16112,Huete
8,Castilla-La Mancha,16,Cuenca,16174,Puebla del Salvador
8,Castilla-La Mancha,16,Cuenca,16211,Torrejoncillo del Rey
8,Castilla-La Mancha,16,Cuenca,16215,Tragacete
8,Castilla-La Mancha,16,Cuenca,16237,Valverdejo
8,Castilla-La Mancha,16,Cuenca,16247,Villalgordo del Marquesado
8,Castilla-La Mancha,16,Cuenca,16273,Villaverde y Pasaconsol
9,Cataluña,17,Girona,17041,Cantallops
9,Cataluña,17,Girona,17063,Espinelves
9,Cataluña,17,Girona,17080,Gombrèn
9,Cataluña,17,Girona,17112,Ogassa
9,Cataluña,17,Girona,17114,Olot
9,Cataluña,17,Girona,17133,Les Planes d'Hostoles
9,Cataluña,17,Girona,17137,Porqueres
9,Cataluña,17,Girona,17180,Santa Coloma de Farners
9,Cataluña,17,Girona,17184,Santa Pau
9,Cataluña,17,Girona,17200,Tortellà
1,Andalucía,18,Granada,18001,Agrón
1,Andalucía,18,Granada,18029,Benamaurel
1,Andalucía,18,Granada,18053,Cortes de Baza
1,Andalucía,18,Granada,18102,Íllora
1,Andalucía,18,Granada,18116,Lanjarón
1,Andalucía,18,Granada,18117,Lanteira
1,Andalucía,18,Granada,18127,Maracena
1,Andalucía,18,Granada,18165,Pulianas
1,Andalucía,18,Granada,18901,La Taha
8,Castilla-La Mancha,19,Guadalajara,19065,Cantalojas
8,Castilla-La Mancha,19,Guadalajara,19076,Castellar de la Muela
8,Castilla-La Mancha,19,Guadalajara,19088,Ciruelas
8,Castilla-La Mancha,19,Guadalajara,19122,Fuentelsaz
8,Castilla-La Mancha,19,Guadalajara,19127,Galve de Sorbe
8,Castilla-La Mancha,19,Guadalajara,19165,Majaelrayo
8,Castilla-La Mancha,19,Guadalajara,19192,Mondéjar
8,Castilla-La Mancha,19,Guadalajara,19289,Traíd
8,Castilla-La Mancha,19,Guadalajara,19324,Villel de Mesa
8,Castilla-La Mancha,19,Guadalajara,19333,Zaorejas
16,País Vasco,20,Gipuzkoa,20017,Azkoitia
16,País Vasco,20,Gipuzkoa,20034,Eskoriatza
16,País Vasco,20,Gipuzkoa,20036,Hondarribia
16,País Vasco,20,Gipuzkoa,20064,Pasaia
16,País Vasco,20,Gipuzkoa,20065,Soraluze-Placencia de las Armas
16,País Vasco,20,Gipuzkoa,20902,Lasarte-Oria
16,País Vasco,20,Gipuzkoa,20907,Gaztelu
1,Andalucía,21,Huelva,21044,Lepe
2,Aragón,22,Huesca,22004,Agüero
2,Aragón,22,Huesca,22083,Castejón de Monegros
2,Aragón,22,Huesca,22084,Castejón de Sos
2,Aragón,22,Huesca,22122,Hoz de Jaca
2,Aragón,22,Huesca,22124,Huerto
2,Aragón,22,Huesca,22158,Monzón
2,Aragón,22,Huesca,22205,San Esteban de Litera
2,Aragón,22,Huesca,22904,La Sotonera
1,Andalucía,23,Jaén,23052,Jimena
1,Andalucía,23,Jaén,23058,Mancha Real
1,Andalucía,23,Jaén,23059,Marmolejo
1,Andalucía,23,Jaén,23087,Torredonjimeno
1,Andalucía,23,Jaén,23101,Villarrodrigo
7,Castilla y León,24,León,24003,Alija del Infantado
7,Castilla y León,24,León,24004,Almanza
7,Castilla y León,24,León,24056,Cistierna
7,Castilla y León,24,León,24058,Corbillos de los Oteros
7,Castilla y León,24,León,24156,Santa María del Monte de Cea
7,Castilla y León,24,León,24180,Valdepolo
7,Castilla y León,24,León,24190,Valverde-Enrique
7,Castilla y León,24,León,24205,Villadangos del Páramo
7,Castilla y León,24,León,24212,Villamañán
9,Cataluña,25,Lleida,25074,Ciutadilla
9,Cataluña,25,Lleida,25089,Farrera
9,Cataluña,25,Lleida,25112,Ivars de Noguera
9,Cataluña,25,Lleida,25134,Menàrguens
9,Cataluña,25,Lleida,25190,Salàs de Pallars
9,Cataluña,25,Lleida,25222,Tiurana
17,La Rioja,26,La Rioja,26009,Alesanco
17,La Rioja,26,La Rioja,26025,Baños de Rioja
17,La Rioja,26,La Rioja,26033,Briñas
17,La Rioja,26,La Rioja,26099,Murillo de Río Leza
17,La Rioja,26,La Rioja,26177,Villoslada de Cameros
17,La Rioja,26,La Rioja,26183,Zorraquín
12,Galicia,27,Lugo,27010,Castro de Rei
12,Galicia,27,Lugo,27032,Monterroso
12,Galicia,27,Lugo,27058,O Saviñao
13,Comunidad de Madrid,28,Madrid,28013,Aranjuez
13,Comunidad de Madrid,28,Madrid,28048,Corpa
13,Comunidad de Madrid,28,Madrid,28052,Chinchón
13,Comunidad de Madrid,28,Madrid,28079,Madrid
13,Comunidad de Madrid,28,Madrid,28175,Villamantilla
1,Andalucía,29,Málaga,29011,Almogía
1,Andalucía,29,Málaga,29018,Ardales
1,Andalucía,29,Málaga,29069,Marbella
14,Región de Murcia,30,Murcia,30018,Ceutí
15,Comunidad Foral de Navarra,31,Navarra,31027,Arbizu
15,Comunidad Foral de Navarra,31,Navarra,31044,Bakaiku
15,Comunidad Foral de Navarra,31,Navarra,31064,Cadreita
15,Comunidad Foral de Navarra,31,Navarra,31066,Cárcar
15,Comunidad Foral de Navarra,31,Navarra,31079,Desojo
15,Comunidad Foral de Navarra,31,Navarra,31100,Eulate
15,Comunidad Foral de Navarra,31,Navarra,31131,Iza
15,Comunidad Foral de Navarra,31,Navarra,31138,Lakuntza
15,Comunidad Foral de Navarra,31,Navarra,31152,Lerín
15,Comunidad Foral de Navarra,31,Navarra,31176,Murchante
15,Comunidad Foral de Navarra,31,Navarra,31180,Muruzábal
